,2021-02,2021-04,2021-05,2021-06,2021-07,2022-11,2022-12
C1,1,1,3,2,3,4,1
C11,3,21,12,5,0,2,0
C13,1,2,3,0,0,0,0
C15,0,3,7,4,1,6,4
C16,0,0,0,0,0,1,0
C17,1,20,13,7,1,2,3
C18,0,0,0,0,0,0,1
C19,0,0,0,0,0,0,1
C2,0,0,0,2,0,0,0
C20,5,13,11,2,0,0,0
C21,0,0,0,0,0,1,0
C23,0,1,1,0,0,0,0
C25,0,0,0,0,0,2,0
C26,0,0,0,0,0,1,2
C27,0,0,0,0,0,1,1
C28,0,0,1,0,0,2,1
C29,0,0,0,0,0,2,0
C3,3,16,3,5,0,0,0
C31,0,1,0,1,0,0,0
C33,0,0,2,2,1,0,0
C34,0,1,1,1,0,0,0
C35,0,0,0,0,0,1,0
C36,0,1,2,3,0,0,0
C4,0,0,0,0,0,2,0
C40,1,0,1,1,0,0,0
C42,0,6,3,4,0,0,0
C43,0,0,1,2,0,0,0
C44,0,4,5,2,0,0,0
C46,0,0,0,0,0,0,3
C53,0,0,0,0,0,0,1
C55,1,0,0,0,0,0,0
C56,3,7,1,1,0,0,0
C6,0,0,1,0,0,0,4
C7,0,0,0,1,0,0,0
C8,0,3,2,1,0,0,0
C9,0,1,0,1,1,0,0
